datetime,PCO2_Corr_filtered,phcalc,pH_calc_norm4
2016-09-14T13:00:00Z,NaN,NA,NA
2016-09-14T12:00:00Z,NaN,NA,NA
2016-09-14T11:00:00Z,NaN,NA,NA
2016-09-14T10:00:00Z,NaN,NA,NA
2016-09-14T09:00:00Z,NaN,NA,NA
2016-09-14T08:00:00Z,NaN,NA,NA
2016-09-14T07:00:00Z,NaN,NA,NA
2016-09-14T06:00:00Z,NaN,NA,NA
2016-09-14T05:00:00Z,NaN,NA,NA
2016-09-14T04:00:00Z,NaN,NA,NA
2016-09-14T03:00:00Z,NaN,NA,NA
2016-09-14T02:00:00Z,NaN,NA,NA
2016-09-14T01:00:00Z,NaN,NA,NA
2016-09-14T00:00:00Z,NaN,NA,NA
2016-09-13T23:00:00Z,NaN,NA,NA
2016-09-13T22:00:00Z,NaN,NA,NA
2016-09-13T21:00:00Z,NaN,NA,NA
2016-09-13T20:00:00Z,NaN,NA,NA
2016-09-13T19:00:00Z,NaN,NA,NA
2016-09-13T18:00:00Z,NaN,NA,NA
2016-09-13T17:00:00Z,NaN,NA,NA
2016-09-13T16:00:00Z,NaN,NA,NA
2016-09-13T15:00:00Z,NaN,NA,NA
2016-09-13T14:00:00Z,NaN,NA,NA
2016-09-13T13:00:00Z,NaN,NA,NA
2016-09-13T12:00:00Z,NaN,NA,NA
2016-09-13T11:00:00Z,NaN,NA,NA
2016-09-13T10:00:00Z,NaN,NA,NA
2016-09-13T09:00:00Z,NaN,NA,NA
2016-09-13T08:00:00Z,NaN,NA,NA
2016-09-13T07:00:00Z,NaN,NA,NA
2016-09-13T06:00:00Z,NaN,NA,NA
2016-09-13T05:00:00Z,NaN,NA,NA
2016-09-13T04:00:00Z,NaN,NA,NA
2016-09-13T03:00:00Z,NaN,NA,NA
2016-09-13T02:00:00Z,NaN,NA,NA
2016-09-13T01:00:00Z,NaN,NA,NA
2016-09-13T00:00:00Z,NaN,NA,NA
2016-09-12T23:00:00Z,NaN,NA,NA
2016-09-12T22:00:00Z,NaN,NA,NA
2016-09-12T21:00:00Z,NaN,NA,NA
2016-09-12T20:00:00Z,NaN,NA,NA
2016-09-12T19:00:00Z,NaN,NA,NA
2016-09-12T18:00:00Z,NaN,NA,NA
2016-09-12T17:00:00Z,NaN,NA,NA
2016-09-12T16:00:00Z,NaN,NA,NA
2016-09-12T15:00:00Z,NaN,NA,NA
2016-09-12T14:00:00Z,NaN,NA,NA
2016-09-12T13:00:00Z,NaN,NA,NA
2016-09-12T12:00:00Z,NaN,NA,NA
2016-09-12T11:00:00Z,229.14924089285714,NA,NA
2016-09-12T10:00:00Z,283.6363198857143,NA,NA
2016-09-12T09:00:00Z,NaN,NA,NA
2016-09-12T08:00:00Z,213.63424653571428,NA,NA
2016-09-12T07:00:00Z,214.50418853333332,NA,NA
2016-09-12T06:00:00Z,215.90847088333334,NA,NA
2016-09-12T05:00:00Z,219.21227546341464,NA,NA
2016-09-12T04:00:00Z,220.00984996610168,NA,NA
